UHRF1,EPB41L4A,SCLY,ZNF480
TANC2,GLP2R,JPH1,LDLR
PLXNA2,UNK,C6orf132,DDIT4
TPPP,SSH1,SOX9,HNRNPC
CDC14A,ADCY10P1,MRPS25,NEK7
RPL6P29,TINAGL1,C1orf116,TRDMT1
ZHX2,GLI3,GDF11,Blank-0722
RIN2,SLC2A13,Blank-9069,ST6GALNAC3
DTL,FRK,MPP5,Blank-0165
CASP8AP2,SYCP2,NCS1,PIK3AP1
ARSI,ARID1B,TBC1D30,AIFM3
GAPDHP47,B2M,COL27A1,CAMK1G
VGLL4,MYO3A,Blank-2382,WFIKKN1
HAPLN3,ADGRG4,SIX4,PLEKHO1
HMSD,HEG1,IGIP,ESM1
POLQ,NR2C2,SKI,FAM102B
HERC2P3,DMRTA1,PDGFRL,WNK4
PGPEP1,EPDR1,KCNG1,PTPN2
WSCD2,RANBP17,CREB3L1,EEA1
CITED2,RER1,ZBTB2,TMEM248
CTIF,MSNP1,ZNF788,ARHGAP18
TMEM37,MAN1A1,ATP6V1C2,C11orf95
ROR2,FAM65C,HDLBP,CASS4
EBF3,CD177,PAFAH1B1,RABGGTB
GOLGA2P5,KRT18P59,NR1D2,MYHAS
CGN,BRIP1,Blank-1886,VAMP4
FAR2P2,TIGAR,CDC42EP1,FBXL3
DCLK3,SCARF1,ARHGAP29,CCDC169
HPS4,PTGS2,ZNF10,LAMB3
LONRF1,NOTUM,CD180,NEGR1
SYT7,NEBL,DZIP3,IL22RA1
DUSP1,OLFML2A,LARP4,PPAP2C
LIMCH1,FAM84A,SNAI1,ZNF736
MC1R,EEA1,WWC1,IFI16
KITLG,FAM105A,FKBP14,MET
PHACTR3,ANKRD31,CCNJP1,AR
COL4A1,KBTBD8,PLXNA3,KCNIP1
NXN,E2F8,ANKEF1,FLVCR1
CECR2,HSD17B12,HK2P1,GJC1
NR2C2,LAMA1,LAMB1,FASN
GPRC5B,AHRR,WNT10A,RSAD1
CYP51A1P1,TEK,NRP1,SPPL2A
PSMA2P2,CITED2,TM6SF1,FUT1
ABCB4,PTK2,CCDC80,CFAP58
ZNF827,RNF19B,KLC3,FAM117A
PABPN1,CASP4,FBXW2,TRIM29
STON1,SEPT14,ADAT2,PTGER2
KLHL5,C2CD3,YES1,ZNF670
SETBP1,Blank-0698,GATA3,SYT16
ARHGAP28,CYP4F35P,LHFPL2,PTCHD4
PCYOX1,HERC2P3,TRIM3,HES1
Blank-1228,BMI1,NEDD4L,NARF
EEF1B2P8,RNASEL,KRT18P28,LCA5
OLFML2A,RBPMS2,FIRRE,PLIN2
TNS3,ZNF608,TXNL1,TBC1D30
KLF7,FEM1C,DDX31,CORO2B
CDC25A,TMCC2,SPTLC2,HOXA3
PVRL1,FAM151B,ST6GALNAC5,SLC2A13
SLC44A5,ACER2,NOMO3,TLR7
FRAS1,PLAC8,PAQR7,TMX4
TNFAIP1,FAM214B,SRXN1,F2RL1
